func_module_number	lst
124	GO:0048013;GO:0007169;GO:0007411;GO:0097485;GO:0007167;GO:0048667;GO:0007409;GO:0048812;GO:0061564;GO:0120039;GO:0048858;GO:0000902;GO:0031175;GO:0048666;GO:0051336
125	GO:0002429;GO:0002768;GO:0002757;GO:0002253;GO:0002764;GO:0050776;GO:0050778;GO:0050851;GO:0045321;GO:0002250;GO:0050865;GO:0050853;GO:0046649;GO:0002252;GO:0002443;GO:0002449;GO:0002694;GO:0045087;GO:0050852;GO:0002521;GO:0045088;GO:0045089;GO:0042113
126	GO:0007186;GO:0007188;GO:0007212;GO:1903350;GO:1903351;GO:0071867;GO:0071868;GO:0071869;GO:0071870
127	GO:0007186;GO:0007188;GO:0007189;GO:0007602;GO:0009583;GO:1990573;GO:0009581;GO:0034765;GO:0009582;GO:0007200;GO:0034762;GO:0043269
128	GO:0000122;GO:0006325;GO:1902455;GO:0006338;GO:0030512;GO:1902459;GO:0017015;GO:1903844;GO:0090101
129	GO:0000122;GO:0042659;GO:0010453;GO:2000736;GO:0006338;GO:0006325;GO:0001708;GO:1902459
130	GO:0090522;GO:0006904;GO:0006887;GO:0140056;GO:0022406;GO:0099022;GO:0048278;GO:0140029
131	GO:0034728;GO:0061644;GO:0006325;GO:0006334;GO:0006338;GO:0071824;GO:0071168;GO:0065004
132	GO:0006325;GO:0006338;GO:0034728;GO:0006334
133	GO:0006281;GO:0006974;GO:0006302;GO:0006310;GO:0000725;GO:0000724;GO:0035825;GO:0036297;GO:0000075;GO:0031570;GO:0000077;GO:0140527;GO:0007131;GO:1901988;GO:0010948;GO:1903046;GO:1901987;GO:0042770;GO:0051321;GO:0045786;GO:0140013;GO:0007127;GO:0044770;GO:0061982;GO:0010564;GO:0000729;GO:0031573;GO:0007093;GO:0045005
134	GO:0006418;GO:0043039;GO:0043038
135	GO:0045165;GO:0007517;GO:0014706;GO:0061061;GO:0045666;GO:0060537;GO:0045664;GO:0007519;GO:0048643;GO:1901863;GO:0045844;GO:0048636
136	GO:0072331;GO:0072332
137	GO:2000819;GO:0070316;GO:0045023;GO:0006289;GO:2000781;GO:0030071;GO:1902099;GO:0007091;GO:0044784;GO:0033045;GO:1902459;GO:0006325;GO:0051983;GO:0045739;GO:2000779;GO:0006338;GO:2000045;GO:2000036;GO:0000819;GO:1902806;GO:0000082;GO:0006282;GO:0045663;GO:0044843
139	GO:0006354;GO:0006368;GO:0032784;GO:0034243;GO:0032786;GO:0032785
140	GO:0006352;GO:0006367;GO:0070897;GO:0006360;GO:0051123;GO:0006361
141	GO:0044331;GO:0016339;GO:0034332;GO:0007043
142	GO:0042554;GO:0006801;GO:0072593;GO:0045730
143	GO:0048048;GO:0048251;GO:0048050;GO:0035583;GO:0030198;GO:0043062;GO:0045229
144	GO:0007565
145	GO:0097191;GO:0051249;GO:0002694;GO:0046651;GO:0071356;GO:0032943;GO:0050670;GO:0032944;GO:0050865;GO:0034612;GO:0070661;GO:0070663;GO:0043065;GO:0033209;GO:0043068;GO:0051092;GO:0046649;GO:0007249;GO:0051090;GO:0042098;GO:0045321;GO:0051251;GO:0043122;GO:0097190
146	GO:0055086;GO:0006753;GO:1901292;GO:0009117;GO:0046434;GO:0034655;GO:0009259;GO:0019693;GO:0006163;GO:0009123;GO:0009167;GO:1901136;GO:0009126;GO:0072521;GO:0009166;GO:0009150;GO:0009161;GO:0046033;GO:0046040
147	GO:0055086;GO:1901293;GO:0009165;GO:0006753;GO:0009117;GO:0009260;GO:0046390;GO:0090407;GO:0006182;GO:0009259;GO:0019693;GO:1901137;GO:0009190;GO:0046068;GO:0009187;GO:0052652
148	GO:0006465;GO:0016485
149	GO:1901663;GO:0006744
150	GO:0003254;GO:0051899;GO:0035725;GO:0006814;GO:0071805;GO:0006813
151	GO:0007186;GO:0007631
152	GO:0046391;GO:0006015;GO:0046390;GO:0006164
153	GO:0001523;GO:0016101;GO:0006721;GO:0042572
154	GO:0051923;GO:0006790;GO:0034032;GO:0034035;GO:0050427;GO:0033875;GO:0033865;GO:0006067;GO:0006068
155	GO:0043161;GO:0010498
156	GO:0007020;GO:0046785;GO:0031109;GO:0000226;GO:0051258
157	GO:0006397;GO:0000375;GO:0000377;GO:0000398;GO:0008380;GO:0016071
158	GO:0000375;GO:0000377;GO:0000398;GO:0006397
159	GO:0007059;GO:0034508;GO:0034080;GO:0031055
160	GO:0007186;GO:0007188;GO:0010737;GO:2000479;GO:0015698;GO:2000480;GO:0098657;GO:0006820;GO:0008277;GO:1901701;GO:0043269;GO:0007189;GO:0003013;GO:0048878;GO:0055082;GO:0055080;GO:0043270;GO:0050801;GO:0002029;GO:0051050;GO:0022401;GO:0023058
161	GO:0042330;GO:0006935;GO:0060326;GO:0070098;GO:1990869;GO:1990868;GO:0007186;GO:0030593;GO:0030595;GO:1990266;GO:0071621;GO:0097530;GO:0097529;GO:0048245;GO:0006954;GO:0072677;GO:0002548;GO:0050900;GO:0048247;GO:0071674;GO:0072676;GO:0071346
162	GO:0007186;GO:0007188;GO:0007189;GO:0097646;GO:0007565;GO:1990410;GO:0044703;GO:0044706;GO:0051458;GO:0007190;GO:0045762
163	GO:0007186;GO:0060326;GO:0006935;GO:0042330;GO:0030595;GO:0007188;GO:0007204;GO:0007189;GO:0050900;GO:0030593;GO:1990266;GO:0071621;GO:0097529;GO:0097530;GO:0007200;GO:0070098;GO:1990869;GO:1990868;GO:0007187;GO:0019722;GO:0006954;GO:0071674;GO:0061844
164	GO:0036503;GO:0034976;GO:0010498;GO:0051603;GO:0030970;GO:1903513;GO:0032527;GO:1901698;GO:0070862;GO:0070861;GO:1904152
165	GO:0007409;GO:0007417
166	GO:0044208;GO:0035999;GO:0009113;GO:0006167;GO:0046112;GO:0006144;GO:0009168
167	GO:2000651;GO:1902307;GO:0070886;GO:0106058
168	GO:0030029;GO:0030036;GO:0031032;GO:0061061;GO:0097435
169	GO:0016197;GO:0042147;GO:0032456;GO:0016482;GO:0098876;GO:0016236;GO:0006914;GO:0061919
171	GO:0006457;GO:0051604;GO:0009408;GO:0009266;GO:0031647;GO:0061077;GO:0050821;GO:0034605;GO:0010506;GO:0061919;GO:0006914
173	GO:0001836;GO:0008637;GO:0097190;GO:0007005;GO:0090199;GO:0090200;GO:0010821;GO:2001242;GO:0097193;GO:0097192;GO:0038034;GO:0097191;GO:0043065;GO:0043068;GO:0008630
175	GO:0006457;GO:0051604
176	GO:0006906;GO:0090174;GO:0048284;GO:0007034;GO:0061025;GO:0007041
